ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,Mast cell,Tumor epithelial,0.1013,0.6047,0.0613
SPP1,CD44,T cell,Fibroblast,0.0489,1.2495,0.0611
CCL5,CCR5,Fibroblast,Dendritic cell,0.5149,0.1186,0.061
VEGFA,FLT1,Myeloid/Macro,Dendritic cell,0.7644,0.0795,0.0608
SPP1,CD44,Endothelial,Endothelial,0.0889,0.6842,0.0608
CCL5,CCR5,Unknown,NK cell,0.8071,0.0736,0.0594
FAS,FASLG,Plasma cell,NK cell,0.2273,0.2589,0.0589
TNF,TNFRSF1A,Myeloid/Macro,Endothelial,0.1517,0.3849,0.0584
TNF,TNFRSF1A,Dendritic cell,Unknown,0.4806,0.1213,0.0583
CCL5,CCR5,NK cell,Unknown,3.3874,0.0169,0.0574
IL6,IL6R,Fibroblast,Endothelial,0.4471,0.1283,0.0574
CCL5,CCR5,Plasma cell,T cell,0.6305,0.0896,0.0565
TNF,TNFRSF1A,Mast cell,Endothelial,0.1462,0.3849,0.0563
SPP1,CD44,T cell,Plasma cell,0.0489,1.129,0.0552
TGFB1,TGFBR2,Fibroblast,Tumor epithelial,0.6014,0.0916,0.0551
CD80,CTLA4,B cell,Unknown,0.1868,0.2928,0.0547
SPP1,CD44,Endothelial,Tumor epithelial,0.0889,0.6047,0.0537
TNF,TNFRSF1A,Dendritic cell,NK cell,0.4806,0.1112,0.0535
TGFB1,TGFBR2,Tumor epithelial,Tumor epithelial,0.5803,0.0916,0.0532
CXCL12,CXCR4,Endothelial,Endothelial,0.0569,0.9334,0.0531
IL6,IL6R,Fibroblast,Dendritic cell,0.4471,0.118,0.0528
IL6,IL6R,Unknown,Myeloid/Macro,0.0675,0.7741,0.0523
SPP1,CD44,Tumor epithelial,Endothelial,0.0759,0.6842,0.0519
SPP1,CD44,NK cell,Endothelial,0.0755,0.6842,0.0517
