ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
TNF,TNFRSF1A,Fibroblast,Plasma cell,0.2174,0.0597,0.013
TNF,TNFRSF1A,Myeloid/Macro,Dendritic cell,0.1523,0.0852,0.013
CXCL10,CXCR3,B cell,NK cell,0.0405,0.3207,0.013
TNF,TNFRSF1A,Tumor epithelial,Myeloid/Macro,0.0217,0.5927,0.0129
CD80,CTLA4,Fibroblast,T cell,0.024,0.5365,0.0129
CXCL10,CXCR3,Tumor epithelial,Fibroblast,0.0657,0.1955,0.0128
CDH1,CDH1,Tumor epithelial,Dendritic cell,0.5585,0.0227,0.0127
CXCL10,CXCR3,Plasma cell,Plasma cell,0.0928,0.1371,0.0127
CDH1,CDH1,Dendritic cell,Tumor epithelial,0.0227,0.5585,0.0127
IL6,IL6R,Unknown,Plasma cell,0.0669,0.1893,0.0127
DLL1,NOTCH1,Endothelial,Dendritic cell,0.1167,0.1085,0.0127
CXCL10,CXCR3,Myeloid/Macro,B cell,0.0969,0.1268,0.0123
CD274,PDCD1,Plasma cell,Unknown,0.0446,0.2765,0.0123
VEGFA,FLT1,Fibroblast,Tumor epithelial,0.579,0.0213,0.0123
DLL1,NOTCH1,Myeloid/Macro,Fibroblast,0.063,0.192,0.0121
IL6,IL6R,Endothelial,T cell,0.2326,0.0519,0.0121
IL6,IL6R,Tumor epithelial,Mast cell,0.0299,0.4062,0.0121
CD274,PDCD1,Endothelial,Endothelial,0.1186,0.1018,0.0121
CD80,CTLA4,Unknown,Unknown,0.046,0.2608,0.012
DLL1,NOTCH1,Myeloid/Macro,NK cell,0.063,0.1893,0.0119
CXCL10,CXCR3,Plasma cell,B cell,0.0928,0.1268,0.0118
